version,filename,review_reasons
20260519010000,20260519010000_profile_pinned_posts.sql,"statement classes outside the verifier; function missing: enforce_user_posts_pin_limit; index missing: idx_user_posts_pinned (on user_posts)"
20260520211411,20260520211411_fix_p2p_notify_public_profiles_name.sql,"data effects (INSERT/UPDATE/DELETE)"
20260520212616,20260520212616_fix_p2p_request_rpc_roles.sql,"data effects (INSERT/UPDATE/DELETE)"
20260521020631,20260521020631_repair_store_product_storage_paths.sql,"policy missing: storage|Store owners can upload own store-assets; policy missing: storage|Store owners can update own store-assets; policy missing: storage|Store owners can delete own store-assets"
20260521181545,20260521181545_platform_search_performance_indexes.sql,"statement classes outside the verifier; index missing: idx_store_profiles_public_search_trgm (on store_profiles); index missing: idx_store_products_public_search_trgm (on store_products)"
20260521183500,20260521183500_network_security_events.sql,"statement classes outside the verifier"
20260522012300,20260522012300_database_security_forward_hardening.sql,"policy missing: warehouse_inventory|Store staff can read warehouse inventory; policy missing: warehouse_inventory|Store owners can manage warehouse inventory; policy missing: truck_inventory|Store staff can read truck inventory"
20260524050000,20260524050000_salon_bookings.sql,"statement classes outside the verifier; unrecognized ALTER TABLE actions; type missing: public"
20260524090000,20260524090000_salon_booking_completion_hooks.sql,"data effects (INSERT/UPDATE/DELETE)"
20260524100000,20260524100000_salon_booking_retail_items.sql,"data effects (INSERT/UPDATE/DELETE)"
20260524140000,20260524140000_salon_blockouts.sql,"unrecognized ALTER TABLE actions; constraint missing: salon_blockouts|salon_blockouts_no_overlap"
20260524150000,20260524150000_salon_store_closures.sql,"unrecognized ALTER TABLE actions; policy missing: salon_store_closures|Owners manage store closures - all; constraint missing: salon_store_closures|salon_store_closures_no_overlap"
20260524160000,20260524160000_salon_gift_cards.sql,"policy missing: salon_gift_cards|Owners manage gift cards - all; policy missing: salon_gift_card_redemptions|Owners manage gift card redemptions - all; function missing: tg_salon_gift_card_apply_redemption"
20260524170000,20260524170000_salon_time_entries.sql,"policy missing: salon_time_entries|Owners manage time entries - all; policy missing: salon_time_entries|Stylists can manage their own time entries; index missing: salon_time_entries_store_start_idx (on salon_time_entries)"
20260524210000,20260524210000_salon_booking_addons_and_commission_payouts.sql,"policy missing: salon_booking_addons|Owners manage booking addons - all; policy missing: salon_commission_payouts|Owners manage commission payouts - all; policy missing: salon_commission_payouts|Stylists can read their own payouts"
20260524220000,20260524220000_salon_bookings_realtime_publication.sql,"unrecognized ALTER TABLE actions"
20260524230000,20260524230000_salon_booking_addons_rollup.sql,"function missing: tg_salon_booking_addons_rollup; trigger missing: salon_booking_addons_rollup; column missing: salon_bookings|addons_duration_minutes"
20260524240000,20260524240000_salon_loyalty_includes_addons.sql,"data effects (INSERT/UPDATE/DELETE)"
20260524250000,20260524250000_salon_public_get_booking_with_addons.sql,"dropped function still live: salon_public_get_booking"
20260524260000,20260524260000_salon_addons_rollup_end_at.sql,"function missing: tg_salon_booking_addons_rollup"
20260524270000,20260524270000_salon_sidebar_badges_realtime.sql,"unrecognized ALTER TABLE actions"
20260524280000,20260524280000_salon_completion_sync_restore_retail.sql,"data effects (INSERT/UPDATE/DELETE)"
20260524290000,20260524290000_salon_no_show_count_sync.sql,"function missing: tg_salon_booking_no_show_count_sync; trigger missing: salon_bookings_no_show_count_sync"
20260524300000,20260524300000_salon_clients_tags_and_no_show_count.sql,"index missing: salon_clients_tags_idx (on salon_clients)"
20260524310000,20260524310000_salon_clients_tags_limits.sql,"function missing: tg_salon_clients_validate_tags; trigger missing: salon_clients_validate_tags"
20260524320000,20260524320000_salon_public_stylist_busy.sql,"function missing: salon_public_stylist_busy; function missing: salon_public_stylists_busy; function missing: salon_public_stylists_blockouts"
20260524330000,20260524330000_salon_retail_sku_unique.sql,"index missing: salon_retail_products_store_sku_unique (on salon_retail_products)"
20260524340000,20260524340000_salon_bookings_cancellation_reason_limit.sql,"unrecognized ALTER TABLE actions; constraint missing: salon_bookings|salon_bookings_cancellation_reason_length"
20260524350000,20260524350000_salon_public_get_booking_with_ids_and_cancel_window.sql,"dropped function still live: salon_public_get_booking"
20260524360000,20260524360000_salon_reminders.sql,"data effects (INSERT/UPDATE/DELETE); policy missing: salon_reminder_settings|Owners manage reminder settings - all; policy missing: salon_reminders|Owners read reminders"
20260524370000,20260524370000_salon_customer_portal.sql,"data effects (INSERT/UPDATE/DELETE); policy missing: salon_loyalty_events|Clients view their own loyalty events; policy missing: salon_gift_cards|Recipients view their own gift cards"
20260524380000,20260524380000_salon_reminders_followup.sql,"data effects (INSERT/UPDATE/DELETE); unrecognized ALTER TABLE actions; policy missing: salon_notification_template_overrides|Owners manage their template overrides"
20260524390000,20260524390000_salon_campaigns.sql,"policy missing: salon_campaigns|Owners manage their campaigns; policy missing: salon_campaign_recipients|Owners read their campaign recipients; table missing: salon_campaign_recipients"
20260524410000,20260524410000_salon_public_booking_returns_refunded_cents.sql,"dropped function still live: salon_public_get_booking"
20260524420000,20260524420000_salon_no_show_fees.sql,"data effects (INSERT/UPDATE/DELETE); unrecognized ALTER TABLE actions; function missing: salon_public_get_payment_policy"
20260525040000,20260525040000_cafe_orders.sql,"type missing: public; type missing: public"
20260525060000,20260525060000_cafe_payments.sql,"type missing: public; type missing: public"
20260525070000,20260525070000_cafe_public_order_rpc.sql,"data effects (INSERT/UPDATE/DELETE)"
20260525100001,20260525100001_cafe_orders_realtime_publication.sql,"unrecognized ALTER TABLE actions"
20260525120000,20260525120000_cafe_orders_status_timestamps.sql,"function missing: tg_cafe_orders_status_timestamps; trigger missing: cafe_orders_status_timestamps"
20260525120001,20260525120001_cafe_reviews.sql,"index missing: cafe_reviews_order_idx (on cafe_reviews)"
